Title,Author,Location,Highlight
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,618,"The ability to stick around for a long time, without wiping out or being forced to give up, is what makes the biggest difference. This should be the cornerstone of your strategy, whether it’s in investing or your career or a business you own."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,620,There are two reasons why a survival mentality is so key with money.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,621,One is the obvious: few gains are so great that they’re worth wiping yourself out over.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,621,"The other, as we saw in chapter 4, is the counterintuitive math of compounding."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,622,Compounding only works if you can give an asset years and years to grow.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,625,"We can spend years trying to figure out how Buffett achieved his investment returns: how he found the best companies, the cheapest stocks, the best managers. That’s hard. Less hard but equally important is pointing out what he didn’t do."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,628,He didn’t sully his business reputation.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,629,"He didn’t attach himself to one strategy, one world view, or one passing trend."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,631,He survived. Survival gave him longevity. And longevity—investing consistently from age 10 to at least age 89—is what made compounding work wonders. That single point is what matters most when describing his success.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,645,"1. More than I want big returns, I want to be financially unbreakable. And if I’m unbreakable I actually think I’ll get the biggest returns, because I’ll be able to stick around long enough for compounding to work wonders."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,653,"2. Planning is important, but the most important part of every plan is to plan on the plan not going according to plan."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,654,"What’s the saying? You plan, God laughs."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,659,A plan is only useful if it can survive reality. And a future filled with unknowns is everyone’s reality.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,660,"A good plan doesn’t pretend this weren’t true; it embraces it and emphasizes room for error. The more you need specific elements of a plan to be true, the more fragile your financial life becomes. If there’s enough room for error in your savings rate that you can say, “It’d be great if the market returns 8% a year over the next 30 years, but if it only does 4% a year I’ll still be OK,” the more valuable your plan becomes."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,663,"Many bets fail not because they were wrong, but because they were mostly right in a situation that required things to be exactly right."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,664,"Room for error—often called margin of safety—is one of the most underappreciated forces in finance. It comes in many forms: A frugal budget, flexible thinking, and a loose timeline—anything that lets you live happily with a range of outcomes."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,669,"3. A barbelled personality—optimistic about the future, but paranoid about what will prevent you from getting to the future—is vital."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,692,"A mindset that can be paranoid and optimistic at the same time is hard to maintain, because seeing things as black or white takes less effort than accepting nuance. But you need short-term paranoia to keep you alive long enough to exploit long-term optimism."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,710,"“The great investors bought vast quantities of art,” the firm writes.¹⁹ “A subset of the collections turned out to be great investments, and they were held for a sufficiently long period of time to allow the portfolio return to converge upon the return of the best elements in the portfolio. That’s all that happens.”"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,717,"A lot of things in business and investing work this way. Long tails—the farthest ends of a distribution of outcomes—have tremendous influence in finance, where a small number of events can account for the majority of outcomes."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,767,"Napoleon’s definition of a military genius was, “The man who can do the average thing when all those around him are going crazy.”"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,770,Over the course of your lifetime as an investor the decisions that you make today or tomorrow or next week will not matter nearly as much as what you do during the small number of days—likely 1% of the time or less—when everyone else around you is going crazy.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,784,"There is the old pilot quip that their jobs are “hours and hours of boredom punctuated by moments of sheer terror.” It’s the same in investing. Your success as an investor will be determined by how you respond to punctuated moments of terror, not the years spent on cruise control."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,796,Something I’ve learned from both investors and entrepreneurs is that no one makes good decisions all the time. The most impressive people are packed full of horrendous ideas that are often acted upon.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,824,"“It’s not whether you’re right or wrong that’s important,” George Soros once said, “but how much money you make when you’re right and how much you lose when you’re wrong.” You can be wrong half the time and still make a fortune."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,830,"The highest form of wealth is the ability to wake up every morning and say, “I can do whatever I want today.”"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,838,The most powerful common denominator of happiness was simple. Campbell summed it up: Having a strong sense of controlling one’s life is a more dependable predictor of positive feelings of wellbeing than any of the objective conditions of life we have considered.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,859,doing something you love on a schedule you can’t control can feel the same as doing something you hate.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,860,There is a name for this feeling. Psychologists call it reactance.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,887,"A wise old owl lived in an oak, The more he saw the less he spoke, The less he spoke, the more he heard, Why aren’t we all like that wise old bird?"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,927,"There is a paradox here: people tend to want wealth to signal to others that they should be liked and admired. But in reality those other people often bypass admiring you, not because they don’t think wealth is admirable, but because they use your wealth as a benchmark for their own desire to be liked and admired."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,943,Money has many ironies. Here’s an important one: Wealth is what you don’t see.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,953,"We tend to judge wealth by what we see, because that’s the information we have in front of us. We can’t see people’s bank accounts or brokerage statements. So we rely on outward appearances to gauge financial success. Cars. Homes. Instagram photos."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,955,But the truth is that wealth is what you don’t see.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,956,"Wealth is the nice cars not purchased. The diamonds not bought. The watches not worn, the clothes forgone and the first-class upgrade declined. Wealth is financial assets that haven’t yet been converted into the stuff you see."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,962,"Investor Bill Mann once wrote: “There is no faster way to feel rich than to spend lots of money on really nice things. But the way to be rich is to spend money you have, and to not spend money you don’t have. It’s really that simple.”³¹"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,970,"wealth is hidden. It’s income not spent. Wealth is an option not yet taken to buy something later. Its value lies in offering you options, flexibility, and growth to one day purchase more stuff than you could right now."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,990,The world is filled with people who look modest but are actually wealthy and people who look rich who live at the razor’s edge of insolvency. Keep this in mind when quickly judging others’ success and setting your own goals.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,998,"The first idea—simple, but easy to overlook—is that building wealth has little to do with your income or investment returns, and lots to do with your savings rate."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1017,"Wealth is just the accumulated leftovers after you spend what you take in. And since you can build wealth without a high income, but have no chance of building wealth without a high savings rate, it’s clear which one matters more."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1019,"More importantly, the value of wealth is relative to what you need."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1033,"Past a certain level of income, what you need is just what sits below your ego."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1035,"But spending beyond a pretty low level of materialism is mostly a reflection of ego approaching income, a way to spend money to show people that you have (or had) money."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1036,"Think of it like this, and one of the most powerful ways to increase your savings isn’t to raise your income. It’s to raise your humility."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1037,When you define savings as the gap between your ego and your income you realize why many people with decent incomes save so little. It’s a daily struggle against instincts to extend your peacock feathers to their outermost limits and keep up with others doing the same.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1042,Savings can be created by spending less. You can spend less if you desire less. And you will desire less if you care less about what others think of you.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1044,you don’t need a specific reason to save.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1052,"Savings without a spending goal gives you options and flexibility, the ability to wait and the opportunity to pounce. It gives you time to think. It lets you change course on your own terms."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1055,That flexibility and control over your time is an unseen return on wealth.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1081,"Having more control over your time and options is becoming one of the most valuable currencies in the world. That’s why more people can, and more people should, save money."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1157,"If you view “do what you love” as a guide to a happier life, it sounds like empty fortune cookie advice. If you view it as the thing providing the endurance necessary to put the quantifiable odds of success in your favor, you realize it should be the most important part of any financial strategy."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1189,"investing is not a hard science. It’s a massive group of people making imperfect decisions with limited information about things that will have a massive impact on their wellbeing, which can make even smart people nervous, greedy and paranoid."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1193,"The cornerstone of economics is that things change over time, because the invisible hand hates anything staying too good or too bad indefinitely. Investor Bill Bonner once described how Mr. Market works: “He’s got a ‘Capitalism at Work’ T-shirt on and a sledgehammer in his hand.” Few things stay the same for very long, which means we can’t treat historians as prophets."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1196,The most important driver of anything tied to money is the stories people tell themselves and the preferences they have for goods and services.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1207,Two dangerous things happen when you rely too heavily on investment history as a guide to what’s going to happen next.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1208,1. You’ll likely miss the outlier events that move the needle the most.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1229,The most common plot of economic history is the role of surprises. The reason surprises occur is not because our models are wrong or our intelligence is low. It’s because the odds that Adolf Hitler’s parents argued on the evening nine months before he was born were the same as them conceiving a child.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1235,the forecaster who assumes the worst (and best) events of the past will match the worst (and best) events of the future is not following history; they’re accidentally assuming that the history of unprecedented events doesn’t apply to the future.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1240,"the worst past event had to be a surprise, as it had no precedent."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1244,"Whenever we are surprised by something, even if we admit that we made a mistake, we say, ‘Oh I’ll never make that mistake again.’ But, in fact, what you should learn when you make a mistake because you did not anticipate something is that the world is difficult to anticipate. That’s the correct lesson to learn from surprises: that the world is surprising."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1247,The correct lesson to learn from surprises is that the world is surprising. Not that we should use past surprises as a guide to future boundaries; that we should use past surprises as an admission that we have no idea what might happen next.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1253,2. History can be a misleading guide to the future of the economy and stock market because it doesn’t account for structural changes that are relevant to today’s world.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1312,"The further back in history you look, the more general your takeaways should be. General things like people’s relationship to greed and fear, how they behave under stress, and how they respond to incentives tend to be stable in time. The history of money is useful for that kind of stuff."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1314,"But specific trends, specific trades, specific sectors, specific causal relationships about markets, and what people should do with their money are always an example of evolution in progress. Historians are not prophets."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1338,"The wisdom in having room for error is acknowledging that uncertainty, randomness, and chance—“unknowns”—are an ever-present part of life. The only way to deal with them is by increasing the gap between what you think will happen and what can happen while still leaving you capable of fighting another day."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1356,"Two things cause us to avoid room for error. One is the idea that somebody must know what the future holds, driven by the uncomfortable feeling that comes from admitting the opposite. The second is that you’re therefore doing yourself harm by not taking actions that fully exploit an accurate view of that future coming true."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1383,Use room for error when estimating your future returns. This is more art than science.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1385,"The future may be worse than ⅓ lower than the past, but no margin of safety offers a 100% guarantee. A one-third buffer is enough to allow me to sleep well at night."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1387,"“The best way to achieve felicity is to aim low,” says Charlie Munger. Wonderful."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1389,"Nassim Taleb says, “You can be risk loving and yet completely averse to ruin.” And indeed, you should."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1390,"The idea is that you have to take risk to get ahead, but no risk that can wipe you out is ever worth taking."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1394,"if something has 95% odds of being right, the 5% odds of being wrong means you will almost certainly experience the downside at some point in your life. And if the cost of the downside is ruin, the upside the other 95% of the time likely isn’t worth the risk, no matter how appealing it looks."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1414,"You can plan for every risk except the things that are too crazy to cross your mind. And those crazy things can do the most harm, because they happen more often than you think and you have no plan for how to deal with them."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1426,"Avoiding these kinds of unknown risks is, almost by definition, impossible. You can’t prepare for what you can’t envision. If there’s one way to guard against their damage, it’s avoiding single points of failure."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1428,"A good rule of thumb for a lot of things in life is that everything that can break will eventually break. So if many things rely on one thing working, and that thing breaks, you are counting the days to catastrophe. That’s a single point of failure."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1471,"At every stage of our lives we make decisions that will profoundly influence the lives of the people we’re going to become, and then when we become those people, we’re not always thrilled with the decisions we made."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1487,"We should avoid the extreme ends of financial planning. Assuming you’ll be happy with a very low income, or choosing to work endless hours in pursuit of a high one, increases the odds that you’ll one day find yourself at a point of regret. The fuel of the End of History Illusion is that people adapt to most circumstances, so the benefits of an extreme plan—the simplicity of having hardly anything, or the thrill of having almost everything—wear off. But the downsides of those extremes—not being able to afford retirement, or looking back at a life spent devoted to chasing dollars—become enduring regrets. Regrets are especially painful when you abandon a previous plan and feel like you have to run in the other direction twice as fast to make up for lost time."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1508,"Sunk costs—anchoring decisions to past efforts that can’t be refunded—are a devil in a world where people change over time. They make our future selves prisoners to our past, different, selves. It’s the equivalent of a stranger making major life decisions for you."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1547,"Now here’s the important part. Like the car, you have a few options: You can pay this price, accepting volatility and upheaval. Or you can find an asset with less uncertainty and a lower payoff, the equivalent of a used car. Or you can attempt the equivalent of grand-theft auto: Try to get the return while avoiding the volatility that comes along with it."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1729,Tell someone that everything will be great and they’re likely to either shrug you off or offer a skeptical eye. Tell someone they’re in danger and you have their undivided attention.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1754,"a few other things make financial pessimism easy, common, and more persuasive than optimism."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1755,"money is ubiquitous, so something bad happening tends to affect everyone and captures everyone’s attention."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1774,Another is that pessimists often extrapolate present trends without accounting for how markets adapt.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1795,"A third is that progress happens too slowly to notice, but setbacks happen too quickly to ignore."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1818,"Growth is driven by compounding, which always takes time. Destruction is driven by single points of failure, which can happen in seconds, and loss of confidence, which can happen in an instant."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1870,"When we think about the growth of economies, businesses, investments and careers, we tend to think about tangible things—how much stuff do we have and what are we capable of? But stories are, by far, the most powerful force in the economy. They are the fuel that can let the tangible parts of the economy work, or the brake that holds our capabilities back."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1873,"At the personal level, there are two things to keep in mind about a story-driven world when managing your money."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1874,"1. The more you want something to be true, the more likely you are to believe a story that overestimates the odds of it being true."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1879,There are many things in life that we think are true because we desperately want them to be true.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1881,"An appealing fiction happens when you are smart, you want to find solutions, but face a combination of limited control and high stakes."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1914,"The bigger the gap between what you want to be true and what you need to be true to have an acceptable outcome, the more you are protecting yourself from falling victim to an appealing financial fiction."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1928,2. Everyone has an incomplete view of the world. But we form a complete narrative to fill in the gaps.
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1949,"Hindsight, the ability to explain the past, gives us the illusion that the world is understandable. It gives us the illusion that the world makes sense, even when it doesn’t make sense. That’s a big deal in producing mistakes in many fields."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1966,"Psychologist Philip Tetlock once wrote: “We need to believe we live in a predictable, controllable world, so we turn to authoritative-sounding people who promise to satisfy that need.”"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,1979,"When planning we focus on what we want to do and can do, neglecting the plans and skills of others whose decisions might affect our outcomes. Both in explaining the past and in predicting the future, we focus on the causal role of skill and neglect the role of luck. We focus on what we know and neglect what we do not know, which makes us overly confident in our beliefs."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2028,"Go out of your way to find humility when things are going right and forgiveness/compassion when they go wrong. Because it’s never as good or as bad as it looks. The world is big and complex. Luck and risk are both real and hard to identify. Do so when judging both yourself and others. Respect the power of luck and risk and you’ll have a better chance of focusing on things you can actually control. You’ll also have a better chance of finding the right role models. Less ego, more wealth. Saving money is the gap between your ego and your income, and wealth is what you don’t see. So wealth is created by suppressing what you could buy today in order to have more stuff or more options in the future. No matter how much you earn, you will never build wealth unless you can put a lid on how much fun you can have with your money right now, today. Manage your money in a way that helps you sleep at night. That’s different from saying you should aim to earn the highest returns or save a specific percentage of your income. Some people won’t sleep well unless they’re earning the highest returns; others will only get a good rest if they’re conservatively invested. To each their own. But the foundation of, “does this help me sleep at night?” is the best universal guidepost for all financial decisions."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2037,"If you want to do better as an investor, the single most powerful thing you can do is increase your time horizon. Time is the most powerful force in investing. It makes little things grow big and big mistakes fade away. It can’t neutralize luck and risk, but it pushes results closer towards what people deserve."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2040,"Become OK with a lot of things going wrong. You can be wrong half the time and still make a fortune, because a small minority of things account for the majority of outcomes. No matter what you’re doing with your money you should be comfortable with a lot of stuff not working. That’s just how the world is. So you should always measure how you’ve done by looking at your full portfolio, rather than individual investments. It is fine to have a large chunk of poor investments and a few outstanding ones. That’s usually the best-case scenario. Judging how you’ve done by focusing on individual investments makes winners look more brilliant than they were, and losers appear more regrettable than they should."
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,2045,"Use money to gain control over your time, because not having control of your time is such a powerful and universal drag on happiness. The ability to do what you want, when you want, with who you want, for as long as you want to, pays the highest dividend that exists in finance."
